BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,CISO,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
IID,16Dec2021,Pacific,N,"7,690","7,831","16,080","8,222",,"1,711",,,407,868,,"13,056",,981,"7,804",-563,,1.04,,,807,,95,902,257,629,531,"16,042","7,820",0.12,0.15
IID,17Dec2021,Pacific,N,"7,609","7,607","15,709","8,095",,"1,311",,,359,895,,"13,126",,981,"7,787",-673,,1.04,,,618,,96,714,289,540,463,"15,691","7,596",0.10,0.13
IID,18Dec2021,Pacific,N,"7,198","7,274","15,737","8,477",,"1,476",,,222,891,,"13,148",,985,"7,898",-406,,1.04,,,695,,95,790,230,561,459,"15,737","7,260",0.11,0.14
IID,19Dec2021,Pacific,N,"7,047","7,007","14,695","7,702",,"1,398",,,118,864,,"12,315",,801,"7,794",-893,,1.04,,,659,,89,748,371,613,506,"14,695","6,993",0.11,0.16
IID,20Dec2021,Pacific,N,"7,636","7,658","14,785","7,136",,"1,513",,,203,686,,"12,383",,925,"7,390","-1,179",,1.04,,,711,,88,799,432,635,596,"14,785","7,649",0.12,0.17
IID,21Dec2021,Pacific,N,"7,596","7,690","14,512","6,830",,"1,357",,,294,292,,"12,569",,657,"7,241","-1,068",,1.04,,,639,,88,726,405,577,555,"14,512","7,682",0.11,0.16
IID,22Dec2021,Pacific,N,"7,469","7,615","15,475","7,843",,"1,471",,,355,609,,"13,004",,847,"7,947",-951,,1.04,,,693,,93,786,373,618,541,"15,439","7,596",0.11,0.16
IID,23Dec2021,Pacific,N,"7,670","7,452","14,885","7,428",,"1,153",,,270,551,,"12,893",,778,"7,652","-1,002",,1.04,,,545,,91,637,368,529,475,"14,867","7,439",0.09,0.14
IID,24Dec2021,Pacific,N,"6,773","6,816","14,523","7,721",,"1,252",,,61,548,,"12,662",,778,"7,863",-920,,1.04,,,593,,88,682,341,574,449,"14,523","6,802",0.10,0.15
IID,25Dec2021,Pacific,N,"6,503","6,475","14,688","8,223",,"1,439",,,0,436,,"12,813",,646,"8,209",-632,,1.04,,,677,,88,765,234,575,425,"14,688","6,465",0.11,0.14
IID,26Dec2021,Pacific,N,"6,489","6,506","14,688","8,195",,"1,287",,,0,629,,"12,772",,657,"8,367",-829,,1.04,,,609,,89,699,290,570,419,"14,688","6,493",0.10,0.14
IID,27Dec2021,Pacific,N,"7,493","7,647","14,574","6,943",,"1,688",,,51,383,,"12,452",,714,"7,112",-883,,1.04,,,797,,86,883,315,606,592,"14,574","7,631",0.13,0.17
IID,28Dec2021,Pacific,N,"7,566","7,647","14,574","6,943",,"1,688",,,51,383,,"12,452",,714,"7,112",-883,,1.04,,,797,,86,883,323,610,596,"14,574","7,631",0.13,0.17
IID,29Dec2021,Pacific,N,"7,655","7,647","14,574","6,943",,"1,688",,,51,383,,"12,452",,714,"7,112",-883,,1.03,,,792,,86,878,331,613,596,"14,574","7,631",0.13,0.17
IID,30Dec2021,Pacific,N,"7,672","7,584","15,136","7,555",,"1,723",,,344,493,,"12,569",,786,"7,512",-743,,1.04,,,813,,89,902,281,617,566,"15,129","7,574",0.13,0.16
IID,31Dec2021,Pacific,N,"7,487","7,097","14,694","7,609",,"2,010",,,102,688,,"11,894",,442,"7,748",-581,,1.04,,,952,,84,"1,037",278,709,606,"14,694","7,085",0.16,0.19
IID,01Jan2022,Pacific,N,"6,883","6,594","17,607","11,013",,"2,195",,,0,"3,126",,"12,272",,435,"10,661",-83,,1.04,,,"1,036",,103,"1,138",135,772,502,"17,593","6,580",0.14,0.17
IID,02Jan2022,Pacific,N,"7,067","7,165","18,101","10,936",,"2,406",,,0,"3,210",,"12,472",,534,"10,374",28,,1.03,,,"1,129",,104,"1,234",74,753,554,"18,088","7,152",0.15,0.17
IID,03Jan2022,Pacific,N,"7,816","7,949","18,262","10,313",,"2,417",,,139,"3,188",,"12,502",,594,"10,248",-529,,1.04,,,"1,140",,105,"1,246",216,804,658,"18,246","7,933",0.15,0.18
IID,04Jan2022,Pacific,N,"7,772","8,013","18,094","10,081",,"2,282",,,276,"3,093",,"12,428",,562,"10,316",-797,,1.04,,,"1,079",,105,"1,184",307,825,666,"18,079","7,998",0.14,0.18
