BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NSB,17Sep2015,Eastern,N,"1,189","1,067",0,"-1,067",,,,,,,,,,-368,-699,,,,,,,,,,,,,,,
NSB,18Sep2015,Eastern,N,"1,067","1,173",0,"-1,173",,,,,,,,,,-346,-827,,,,,,,,,,,,,,,
NSB,19Sep2015,Eastern,N,"1,173","1,243",0,"-1,243",,,,,,,,,,-185,"-1,058",,,,,,,,,,,,,,,
NSB,20Sep2015,Eastern,N,"1,243","1,318",0,"-1,318",,,,,,,,,,-519,-799,,,,,,,,,,,,,,,
NSB,21Sep2015,Eastern,N,"1,318","1,264",0,"-1,264",,,,,,,,,,-469,-795,,,,,,,,,,,,,,,
NSB,22Sep2015,Eastern,N,"1,264","1,277",0,"-1,277",,,,,,,,,,-466,-811,,,,,,,,,,,,,,,
NSB,23Sep2015,Eastern,N,"1,277","1,220",0,"-1,220",,,,,,,,,,-346,-874,,,,,,,,,,,,,,,
NSB,24Sep2015,Eastern,N,"1,220","1,179",0,"-1,179",,,,,,,,,,-342,-837,,,,,,,,,,,,,,,
NSB,25Sep2015,Eastern,N,"1,179","1,247",0,"-1,247",,,,,,,,,,-391,-856,,,,,,,,,,,,,,,
NSB,26Sep2015,Eastern,N,"1,247","1,309",0,"-1,309",,,,,,,,,,-430,-879,,,,,,,,,,,,,,,
NSB,27Sep2015,Eastern,N,"1,309","1,373",0,"-1,373",,,,,,,,,,-490,-883,,,,,,,,,,,,,,,
NSB,28Sep2015,Eastern,N,"1,373","1,312",0,"-1,312",,,,,,,,,,-550,-762,,,,,,,,,,,,,,,
NSB,29Sep2015,Eastern,N,"1,312","1,136",0,"-1,136",,,,,,,,,,-511,-625,,,,,,,,,,,,,,,
NSB,30Sep2015,Eastern,N,"1,136","1,311",0,"-1,311",,,,,,,,,,-597,-714,,,,,,,,,,,,,,,
NSB,01Oct2015,Eastern,N,"1,311","1,363",0,"-1,363",,,,,,,,,,-711,-652,,,,,,,,,,,,,,,
NSB,02Oct2015,Eastern,N,"1,363","1,222",0,"-1,222",,,,,,,,,,-470,-752,,,,,,,,,,,,,,,
NSB,03Oct2015,Eastern,N,"1,222","1,108",0,"-1,108",,,,,,,,,,-373,-735,,,,,,,,,,,,,,,
NSB,04Oct2015,Eastern,N,"1,108",933,0,-933,,,,,,,,,,-375,-558,,,,,,,,,,,,,,,
NSB,05Oct2015,Eastern,N,933,965,0,-965,,,,,,,,,,-284,-681,,,,,,,,,,,,,,,
NSB,06Oct2015,Eastern,N,965,979,0,-979,,,,,,,,,,-227,-752,,,,,,,,,,,,,,,
NSB,07Oct2015,Eastern,N,979,"1,035",0,"-1,035",,,,,,,,,,-350,-685,,,,,,,,,,,,,,,
NSB,08Oct2015,Eastern,N,"1,035","1,125",0,"-1,125",,,,,,,,,,-564,-561,,,,,,,,,,,,,,,
NSB,09Oct2015,Eastern,N,"1,125","1,231",0,"-1,231",,,,,,,,,,-633,-598,,,,,,,,,,,,,,,
NSB,10Oct2015,Eastern,N,"1,231","1,169",0,"-1,169",,,,,,,,,,-368,-801,,,,,,,,,,,,,,,
NSB,11Oct2015,Eastern,N,"1,169","1,082",0,"-1,082",,,,,,,,,,-255,-827,,,,,,,,,,,,,,,
NSB,12Oct2015,Eastern,N,"1,082","1,034",0,"-1,034",,,,,,,,,,-490,-544,,,,,,,,,,,,,,,
NSB,13Oct2015,Eastern,N,"1,034","1,064",0,"-1,064",,,,,,,,,,-506,-558,,,,,,,,,,,,,,,
NSB,14Oct2015,Eastern,N,"1,064","1,168",0,"-1,168",,,,,,,,,,-572,-596,,,,,,,,,,,,,,,
NSB,15Oct2015,Eastern,N,"1,168","1,136",0,"-1,136",,,,,,,,,,-567,-569,,,,,,,,,,,,,,,
NSB,16Oct2015,Eastern,N,"1,136","1,049",0,"-1,049",,,,,,,,,,-602,-447,,,,,,,,,,,,,,,
NSB,17Oct2015,Eastern,N,"1,049","1,051",0,"-1,051",,,,,,,,,,-572,-596,,,,,,,,,,,,,,,
NSB,18Oct2015,Eastern,N,"1,051","1,034",0,"-1,034",,,,,,,,,,-586,-448,,,,,,,,,,,,,,,
NSB,19Oct2015,Eastern,N,"1,034",963,0,-963,,,,,,,,,,-505,-458,,,,,,,,,,,,,,,
NSB,20Oct2015,Eastern,N,963,"1,027",0,"-1,027",,,,,,,,,,-565,-462,,,,,,,,,,,,,,,
NSB,21Oct2015,Eastern,N,"1,027","1,038",0,"-1,038",,,,,,,,,,-497,-541,,,,,,,,,,,,,,,
NSB,22Oct2015,Eastern,N,"1,038","1,088",0,"-1,088",,,,,,,,,,-389,-699,,,,,,,,,,,,,,,
NSB,23Oct2015,Eastern,N,"1,088","1,144",0,"-1,144",,,,,,,,,,-401,-743,,,,,,,,,,,,,,,
NSB,24Oct2015,Eastern,N,"1,144","1,108",0,"-1,108",,,,,,,,,,-398,-710,,,,,,,,,,,,,,,
NSB,25Oct2015,Eastern,N,"1,108","1,087",0,"-1,087",,,,,,,,,,-374,-713,,,,,,,,,,,,,,,
NSB,26Oct2015,Eastern,N,"1,087","1,045",0,"-1,045",,,,,,,,,,-374,-713,,,,,,,,,,,,,,,
NSB,27Oct2015,Eastern,N,"1,045","1,045",0,"-1,045",,,,,,,,,,-331,-682,,,,,,,,,,,,,,,
NSB,28Oct2015,Eastern,N,"1,045","1,091",0,"-1,091",,,,,,,,,,-343,-748,,,,,,,,,,,,,,,
NSB,29Oct2015,Eastern,N,"1,091","1,059",0,"-1,059",,,,,,,,,,-331,-682,,,,,,,,,,,,,,,
NSB,30Oct2015,Eastern,N,"1,059","1,091",0,"-1,091",,,,,,,,,,,,,,,,,,,,,,,,,,
NSB,31Oct2015,Eastern,N,"1,091","1,091",0,,,,,,,,,,,-477,-585,,,,,,,,,,,,,,,
NSB,01Nov2015,Eastern,N,,"1,195",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSB,02Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSB,03Nov2015,Eastern,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSB,04Nov2015,Eastern,N,,,,,,,,,,,,,,-434,-778,,,,,,,,,,,,,,,
NSB,05Nov2015,Eastern,N,,"1,259",0,"-1,259",,,,,,,,,,-674,-585,,,,,,,,,,,,,,,
NSB,06Nov2015,Eastern,N,"1,259","1,200",0,"-1,200",,,,,,,,,,-633,-567,,,,,,,,,,,,,,,
NSB,07Nov2015,Eastern,N,"1,200","1,195",0,"-1,195",,,,,,,,,,-613,-582,,,,,,,,,,,,,,,
NSB,08Nov2015,Eastern,N,"1,195","1,257",0,"-1,257",,,,,,,,,,-465,-792,,,,,,,,,,,,,,,
NSB,09Nov2015,Eastern,N,"1,257","1,308",0,"-1,308",,,,,,,,,,-353,-955,,,,,,,,,,,,,,,
NSB,10Nov2015,Eastern,N,"1,308","1,146",0,"-1,146",,,,,,,,,,-304,-842,,,,,,,,,,,,,,,
NSB,11Nov2015,Eastern,N,"1,146","1,030",0,"-1,030",,,,,,,,,,-313,-717,,,,,,,,,,,,,,,
NSB,12Nov2015,Eastern,N,"1,030","1,027",0,"-1,027",,,,,,,,,,-266,-761,,,,,,,,,,,,,,,
NSB,13Nov2015,Eastern,N,"1,027",967,0,-967,,,,,,,,,,-277,-690,,,,,,,,,,,,,,,
NSB,14Nov2015,Eastern,N,967,903,0,-903,,,,,,,,,,-366,-537,,,,,,,,,,,,,,,
NSB,15Nov2015,Eastern,N,903,903,0,-903,,,,,,,,,,-414,-489,,,,,,,,,,,,,,,
NSB,16Nov2015,Eastern,N,903,"1,014",0,"-1,014",,,,,,,,,,-531,-483,,,,,,,,,,,,,,,
NSB,17Nov2015,Eastern,N,"1,014","1,102",0,"-1,102",,,,,,,,,,-398,-704,,,,,,,,,,,,,,,
NSB,18Nov2015,Eastern,N,"1,102","1,125",0,"-1,125",,,,,,,,,,-393,-732,,,,,,,,,,,,,,,
NSB,19Nov2015,Eastern,N,"1,125","1,105",0,"-1,105",,,,,,,,,,-400,-705,,,,,,,,,,,,,,,
NSB,20Nov2015,Eastern,N,"1,105","1,069",0,"-1,069",,,,,,,,,,-376,-693,,,,,,,,,,,,,,,
NSB,21Nov2015,Eastern,N,"1,069","1,029",0,"-1,029",,,,,,,,,,-451,-578,,,,,,,,,,,,,,,
NSB,22Nov2015,Eastern,N,"1,029",876,0,-876,,,,,,,,,,-282,-594,,,,,,,,,,,,,,,
NSB,23Nov2015,Eastern,N,876,830,0,-830,,,,,,,,,,-200,-630,,,,,,,,,,,,,,,
NSB,24Nov2015,Eastern,N,830,833,0,-833,,,,,,,,,,-231,-602,,,,,,,,,,,,,,,
NSB,25Nov2015,Eastern,N,833,883,0,-883,,,,,,,,,,-238,-645,,,,,,,,,,,,,,,
NSB,26Nov2015,Eastern,N,883,955,0,-955,,,,,,,,,,-135,-820,,,,,,,,,,,,,,,
NSB,27Nov2015,Eastern,N,955,956,0,-956,,,,,,,,,,-341,-615,,,,,,,,,,,,,,,
NSB,28Nov2015,Eastern,N,956,939,0,-939,,,,,,,,,,-226,-713,,,,,,,,,,,,,,,
NSB,29Nov2015,Eastern,N,939,898,0,-898,,,,,,,,,,-170,-728,,,,,,,,,,,,,,,
NSB,30Nov2015,Eastern,N,898,945,0,-945,,,,,,,,,,-253,-692,,,,,,,,,,,,,,,
NSB,01Dec2015,Eastern,N,945,905,0,-905,,,,,,,,,,-245,-660,,,,,,,,,,,,,,,
NSB,02Dec2015,Eastern,N,905,"1,003",0,"-1,003",,,,,,,,,,-206,-797,,,,,,,,,,,,,,,
NSB,03Dec2015,Eastern,N,"1,003",887,0,-887,,,,,,,,,,-314,-573,,,,,,,,,,,,,,,
NSB,04Dec2015,Eastern,N,887,915,0,-915,,,,,,,,,,-387,-528,,,,,,,,,,,,,,,
NSB,05Dec2015,Eastern,N,915,927,0,-927,,,,,,,,,,-274,-653,,,,,,,,,,,,,,,
NSB,06Dec2015,Eastern,N,927,907,0,-907,,,,,,,,,,-159,-748,,,,,,,,,,,,,,,
NSB,07Dec2015,Eastern,N,907,857,0,-857,,,,,,,,,,-290,-567,,,,,,,,,,,,,,,
NSB,08Dec2015,Eastern,N,857,855,0,-855,,,,,,,,,,-334,-521,,,,,,,,,,,,,,,
NSB,09Dec2015,Eastern,N,855,881,0,-881,,,,,,,,,,-328,-553,,,,,,,,,,,,,,,
NSB,10Dec2015,Eastern,N,881,884,0,-884,,,,,,,,,,-328,-553,,,,,,,,,,,,,,,
NSB,11Dec2015,Eastern,N,884,884,0,-884,,,,,,,,,,-407,-477,,,,,,,,,,,,,,,
NSB,12Dec2015,Eastern,N,884,866,0,-866,,,,,,,,,,-329,-537,,,,,,,,,,,,,,,
NSB,13Dec2015,Eastern,N,866,906,0,-906,,,,,,,,,,-515,-409,,,,,,,,,,,,,,,
