BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
HST,20Jan2021,Eastern,N,"1,192","1,133",0,"-1,133",,0,,,,,,,,"-1,133",,,,,0,,,0,289,0,289,0,"1,133",,0.56
HST,21Jan2021,Eastern,N,"1,224","1,157",0,"-1,157",,0,,,,,,,,"-1,157",,,,,0,,,0,315,0,315,0,"1,157",,0.60
HST,22Jan2021,Eastern,N,"1,233","1,191",0,"-1,191",,0,,,,,,,,"-1,191",,,,,0,,,0,317,0,317,0,"1,191",,0.59
HST,23Jan2021,Eastern,N,"1,233","1,195",0,"-1,195",,0,,,,,,,,"-1,195",,,,,0,,,0,311,0,311,0,"1,195",,0.57
HST,24Jan2021,Eastern,N,"1,287","1,256",0,"-1,256",,0,,,,,,,,"-1,256",,,,,0,,,0,297,0,297,0,"1,256",,0.52
HST,25Jan2021,Eastern,N,"1,370","1,283",0,"-1,283",,0,,,,,,,,"-1,283",,,,,0,,,0,314,0,314,0,"1,283",,0.54
HST,26Jan2021,Eastern,N,"1,361","1,361",0,"-1,361",,0,,,,,,,,"-1,361",,,,,0,,,0,338,0,338,0,"1,361",,0.55
HST,27Jan2021,Eastern,N,"1,450","1,389",0,"-1,389",,0,,,,,,,,"-1,389",,,,,0,,,0,345,0,345,0,"1,389",,0.55
HST,28Jan2021,Eastern,N,"1,465","1,244",0,"-1,244",,0,,,,,,,,"-1,244",,,,,0,,,0,288,0,288,0,"1,244",,0.51
HST,29Jan2021,Eastern,N,"1,412","1,090",0,"-1,090",,0,,,,,,,,"-1,090",,,,,0,,,0,256,0,256,0,"1,090",,0.52
HST,30Jan2021,Eastern,N,"1,168","1,092",0,"-1,092",,0,,,,,,,,"-1,092",,,,,0,,,0,253,0,253,0,"1,092",,0.51
HST,31Jan2021,Eastern,N,"1,301","1,219",0,"-1,219",,0,,,,,,,,"-1,219",,,,,0,,,0,286,0,286,0,"1,219",,0.52
HST,01Feb2021,Eastern,N,"1,150","1,167",0,"-1,167",,0,,,,,,,,"-1,167",,,,,0,,,0,276,0,276,0,"1,167",,0.52
HST,02Feb2021,Eastern,N,"1,034","1,071",0,"-1,071",,0,,,,,,,,"-1,071",,,,,0,,,0,281,0,281,0,"1,071",,0.58
HST,03Feb2021,Eastern,N,"1,180","1,096",0,"-1,096",,0,,,,,,,,"-1,096",,,,,0,,,0,299,0,299,0,"1,096",,0.60
HST,04Feb2021,Eastern,N,"1,168","1,114",0,"-1,114",,0,,,,,,,,"-1,114",,,,,0,,,0,294,0,294,0,"1,114",,0.58
HST,05Feb2021,Eastern,N,"1,227","1,150",0,"-1,150",,0,,,,,,,,"-1,150",,,,,0,,,0,285,0,285,0,"1,150",,0.55
HST,06Feb2021,Eastern,N,"1,223","1,232",0,"-1,232",,0,,,,,,,,"-1,232",,,,,0,,,0,317,0,317,0,"1,232",,0.57
HST,07Feb2021,Eastern,N,"1,291","1,437",0,"-1,437",,0,,,,,,,,"-1,437",,,,,0,,,0,372,0,372,0,"1,437",,0.57
HST,08Feb2021,Eastern,N,"1,532","1,544",0,"-1,544",,0,,,,,,,,"-1,544",,,,,0,,,0,393,0,393,0,"1,544",,0.56
