BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,MISO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GLHB,30May2020,Central,Y,,,"4,549","4,538","4,549",,,,,,,,,"3,303","1,235",2.24,,,"4,618",,,,"4,618",5,"4,612",,"4,549",11,2.24,
GLHB,31May2020,Central,Y,,,"4,270","4,260","4,270",,,,,,,,,"3,230","1,030",2.24,,,"4,333",,,,"4,333",0,"4,323",,"4,270",10,2.24,
GLHB,01Jun2020,Central,Y,,,"4,821","4,808","4,821",,,,,,,,,"3,626","1,182",2.24,,,"4,890",,,,"4,890",35,"4,912",,"4,821",13,2.24,
GLHB,02Jun2020,Central,Y,,,"5,427","5,407","5,427",,,,,,,,,"4,048","1,359",2.24,,,"5,504",,,,"5,504",37,"5,521",,"5,427",20,2.24,
GLHB,03Jun2020,Central,Y,,,"6,105","6,080","6,105",,,,,,,,,"4,636","1,444",2.24,,,"6,193",,,,"6,193",31,"6,198",,"6,105",25,2.24,
GLHB,04Jun2020,Central,Y,,,"6,330","6,302","6,330",,,,,,,,,"4,077","2,225",2.24,,,"6,430",,,,"6,430",22,"6,424",,"6,330",28,2.24,
GLHB,05Jun2020,Central,Y,,,"7,377","7,354","7,377",,,,,,,,,"4,432","2,922",2.24,,,"7,494",,,,"7,494",0,"7,471",,"7,377",23,2.24,
GLHB,06Jun2020,Central,Y,,,"5,743","5,723","5,743",,,,,,,,,"4,388","1,335",2.25,,,"5,850",,,,"5,850",41,"5,870",,"5,743",20,2.25,
GLHB,07Jun2020,Central,Y,,,"5,988","5,960","5,988",,,,,,,,,"4,049","1,911",2.25,,,"6,099",,,,"6,099",0,"6,071",,"5,988",28,2.25,
GLHB,08Jun2020,Central,Y,,,"6,060","6,031","6,060",,,,,,,,,"4,210","1,821",2.25,,,"6,178",,,,"6,178",0,"6,148",,"6,060",29,2.25,
