BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,AZPS,EPE,GRID,PSCO,SRP,SWPP,TEPC,WACM,Subregion Frep,Subregion Jica,Subregion KAFB,Subregion KCEC,Subregion LAC,Subregion NTUA,Subregion PNM,Subregion TSGT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PNM,12Oct2018,Arizona,N,"33,992","33,554","24,730","-8,824","12,899","6,913",,,72,912,"3,886",48,,"-3,906",-914,"-2,619","-2,770",,0,"2,242",-857,"1,806",52,"1,148",646,"1,606",515,"21,287","6,340",2.32,0.92,,"13,592","2,883",,33,"16,507","5,638","1,471","20,674","24,730","33,554",1.47,1.36
PNM,13Oct2018,Arizona,N,"33,048","32,447","30,419","-2,028","18,579","2,159",,,72,"1,286","8,283",40,,-267,"-1,838","-4,374","-2,143",,0,"1,897","4,697","1,779",48,"1,060",621,"1,519",404,"20,914","5,943",2.32,0.92,,"19,580",903,,64,"20,547","4,990","4,702","20,835","30,419","32,447",1.49,1.42
PNM,14Oct2018,Arizona,N,"33,062","32,997","35,022","2,025","21,875","2,920",,,72,775,"9,333",47,,"2,981","-1,062","-6,809","-2,242",,0,-264,"9,421","1,480",52,"1,034",739,"1,566",403,"21,287","6,322",2.33,0.92,,"23,074","1,221",,68,"24,364","5,524","8,360","21,528","35,022","32,997",1.53,1.44
PNM,15Oct2018,Arizona,N,"36,371","36,054","30,549","-5,505","23,081","3,488",,,58,576,"3,298",48,,"-1,703","-1,400","-2,840","-2,972",,0,"-3,669","7,079","1,585",64,"1,177",799,"1,674",458,"23,170","6,973",2.33,0.92,,"24,369",,,26,"25,851","7,136","5,803","27,184","30,554","36,059",1.87,1.66
PNM,16Oct2018,Arizona,N,"36,268","35,883","36,653",770,"22,124","6,357",,,48,674,"7,402",48,,735,-179,"-1,464","-2,799",,0,"-3,485","7,962","1,598",61,"1,178",753,"1,648",524,"23,034","6,984",2.33,0.92,,"23,338","2,650",,54,"26,042","5,241","6,288","24,995","36,653","35,883",1.57,1.54
PNM,17Oct2018,Arizona,N,"35,915","34,850","36,690","1,840","21,110","5,017",,,48,706,"9,761",48,,-830,355,"-1,290","-2,652",,0,-614,"6,871","1,145",62,"1,172",755,"1,647",545,"22,593","6,845",2.32,0.92,,"22,248","2,094",,70,"24,412","3,320","4,989","22,744","36,690","34,850",1.47,1.44
PNM,18Oct2018,Arizona,N,"35,543","35,272","29,669","-5,603","21,176","4,652",,,48,373,"3,372",48,,"-4,755",-111,"-1,332","-3,227",,0,-309,"4,131","1,486",62,"1,159",728,"1,657",463,"22,813","6,796",2.32,0.92,,"22,325","1,944",,26,"24,294","4,348","3,250","25,392","29,669","35,272",1.81,1.59
PNM,19Oct2018,Arizona,N,"33,912","33,882","31,283","-2,599","21,032","4,033",,,54,"1,452","4,664",48,,"-4,957",-90,"-1,385","-2,766",,0,"2,538","4,061","1,927",59,"1,128",672,"1,627",428,"21,530","6,332",2.32,0.92,,"22,176","1,685",,41,"23,902","4,154","4,661","23,395","31,283","33,882",1.68,1.52
PNM,20Oct2018,Arizona,N,"33,000","32,649","26,374","-6,275","16,825","1,949",,,48,"1,347","6,193",12,,"-5,563","-1,998","-1,582","-2,613",,0,"3,500","1,981","1,950",48,"1,038",655,"1,562",386,"20,620","6,249",2.32,0.92,,"17,734",,,51,"18,612","6,348","4,445","20,515","26,404","32,679",1.55,1.38
PNM,21Oct2018,Arizona,N,"33,227","32,494","21,671","-10,823","11,928","4,669",,,48,"1,313","3,713",0,,"-4,534",369,"-4,926","-3,350",,0,"2,625","-1,007","1,939",51,"1,029",659,"1,556",345,"20,440","6,313",2.33,0.92,,"12,581","1,956",,34,"14,571","7,345","2,203","19,713","21,671","32,494",1.48,1.34
