BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FMPP,FPL,GVL,NSB,SEC,SOCO,TAL,TEC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
FPC,27Sep2015,Eastern,N,"122,992","151,108","106,240","-44,868",,,,,,,,,,"-9,810","-10,508",-632,490,"-15,899","-7,136","-3,352","1,979",,,,,,,,,,,,,,,
FPC,28Sep2015,Eastern,N,"127,830","151,130","108,784","-42,346",,,,,,,,,,"-10,409","-9,453",-720,550,"-12,970","-7,003","-3,086",745,,,,,,,,,,,,,,,
FPC,29Sep2015,Eastern,N,"122,434","152,565","108,596","-43,969",,,,,,,,,,"-11,932","-10,142",-953,511,"-13,367","-6,331","-3,247","1,492",,,,,,,,,,,,,,,
FPC,30Sep2015,Eastern,N,"127,205","168,106","125,586","-42,520",,,,,,,,,,"-11,057","-7,952",-707,597,"-11,599","-6,835","-3,395","-1,572",,,,,,,,,,,,,,,
FPC,01Oct2015,Eastern,N,"131,285","168,073","130,002","-38,068",,,,,,,,,,"-11,466","-5,873",-192,711,"-8,547","-7,154","-3,524","-2,023",,,,,,,,,,,,,,,
FPC,02Oct2015,Eastern,N,"122,268","157,685","118,059","-39,619",,,,,,,,,,"-9,563","-9,543",-575,470,"-12,812","-8,099","-2,756","3,259",,,,,,,,,,,,,,,
FPC,03Oct2015,Eastern,N,"107,673","132,226","96,419","-35,797",,,,,,,,,,"-5,893","-13,482",-535,373,"-11,850","-6,469","-2,794","4,853",,,,,,,,,,,,,,,
FPC,04Oct2015,Eastern,N,"101,443","116,530","88,500","-28,028",,,,,,,,,,"-5,667","-8,798",-241,375,"-10,243","-4,408","-2,624","3,578",,,,,,,,,,,,,,,
FPC,05Oct2015,Eastern,N,"108,492","128,360","90,300","-38,060",,,,,,,,,,"-6,209","-14,793",-725,284,"-11,326","-7,784",-972,"3,465",,,,,,,,,,,,,,,
FPC,06Oct2015,Eastern,N,"109,808","132,638","93,493","-39,145",,,,,,,,,,"-6,431","-15,503","-1,108",227,"-11,356","-7,965",-345,"3,336",,,,,,,,,,,,,,,
FPC,07Oct2015,Eastern,N,"115,837","140,612","98,322","-42,290",,,,,,,,,,"-7,181","-16,669","-1,079",350,"-11,418","-7,585",-537,"1,829",,,,,,,,,,,,,,,
FPC,08Oct2015,Eastern,N,"117,141","148,470","106,631","-41,839",,,,,,,,,,"-7,969","-15,510",-798,564,"-10,136","-6,277","-1,529",-184,,,,,,,,,,,,,,,
FPC,09Oct2015,Eastern,N,"120,588","154,712","109,804","-44,908",,,,,,,,,,"-8,825","-13,732",-744,633,"-10,024","-6,667","-2,122","-3,427",,,,,,,,,,,,,,,
FPC,10Oct2015,Eastern,N,"114,940","147,323","99,756","-47,567",,,,,,,,,,"-8,546","-15,053",569,368,"-12,068","-8,456","-2,505","-1,876",,,,,,,,,,,,,,,
FPC,11Oct2015,Eastern,N,"108,388","138,019","92,571","-45,448",,,,,,,,,,"-8,341","-15,191",527,255,"-12,654","-7,054","-2,210",-780,,,,,,,,,,,,,,,
FPC,12Oct2015,Eastern,N,"107,923","135,070","96,011","-39,059",,,,,,,,,,"-5,107","-13,917",666,490,"-10,163","-5,418","-1,991","-3,619",,,,,,,,,,,,,,,
FPC,13Oct2015,Eastern,N,"108,658","138,492","99,413","-39,079",,,,,,,,,,"-4,840","-13,774",521,506,"-8,393","-5,909","-2,079","-5,111",,,,,,,,,,,,,,,
FPC,14Oct2015,Eastern,N,"116,314","149,319","109,105","-40,214",,,,,,,,,,"-5,184","-14,024",649,572,"-8,501","-6,358","-2,108","-5,260",,,,,,,,,,,,,,,
FPC,15Oct2015,Eastern,N,"112,620","141,400","103,008","-38,392",,,,,,,,,,"-4,471","-15,267",449,567,"-7,808","-5,752","-2,107","-4,003",,,,,,,,,,,,,,,
FPC,16Oct2015,Eastern,N,"111,392","128,232","90,641","-37,591",,,,,,,,,,"-5,448","-16,414",533,602,"-9,356","-5,387","-2,040",-81,,,,,,,,,,,,,,,
FPC,17Oct2015,Eastern,N,"108,487","129,415","93,890","-35,525",,,,,,,,,,"-7,277","-15,303",502,610,"-9,875","-5,007","-1,581","2,406",,,,,,,,,,,,,,,
FPC,18Oct2015,Eastern,N,"97,923","119,766","84,940","-34,826",,,,,,,,,,"-8,757","-14,772",280,586,"-8,972","-4,430","-1,331","2,570",,,,,,,,,,,,,,,
FPC,19Oct2015,Eastern,N,"98,351","120,179","87,169","-33,010",,,,,,,,,,"-8,312","-14,542",281,505,"-9,464","-4,646","-1,568","4,736",,,,,,,,,,,,,,,
FPC,20Oct2015,Eastern,N,"100,771","125,653","91,407","-34,239",,,,,,,,,,"-8,700","-13,971",251,565,"-11,013","-4,877","-1,285","4,791",,,,,,,,,,,,,,,
FPC,21Oct2015,Eastern,N,"107,024","131,815","96,497","-35,318",,,,,,,,,,"-7,777","-13,762",432,497,"-11,073","-5,661","-1,392","3,418",,,,,,,,,,,,,,,
FPC,22Oct2015,Eastern,N,"110,745","138,313","96,723","-41,590",,,,,,,,,,"-9,016","-14,496",298,389,"-14,181","-6,954","-1,809","4,179",,,,,,,,,,,,,,,
FPC,23Oct2015,Eastern,N,"113,033","139,975","97,521","-42,454",,,,,,,,,,"-9,264","-14,493",290,401,"-15,420","-7,530","-1,831","5,393",,,,,,,,,,,,,,,
FPC,24Oct2015,Eastern,N,"108,044","131,210","90,207","-41,003",,,,,,,,,,"-10,713","-13,492",90,398,"-14,563","-7,028","-1,788","6,093",,,,,,,,,,,,,,,
FPC,25Oct2015,Eastern,N,"108,044","134,488","92,752","-41,736",,,,,,,,,,"-9,601","-14,060",61,374,"-14,858","-6,498","-1,894","4,754",,,,,,,,,,,,,,,
FPC,26Oct2015,Eastern,N,"113,305","137,470","98,808","-38,662",,,,,,,,,,"-9,306","-14,813",156,318,"-14,447","-5,621","-2,732","7,783",,,,,,,,,,,,,,,
