BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,MISO,SOCO,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AEC,28Jun2020,Central,N,"31,160","15,736","19,314","3,578","2,703","16,481",,,28,,,96,,"1,138","2,440",2.25,0.90,,"2,755","6,756",,1,"9,512",13,"1,784","7,741","19,308","15,730",1.09,1.08
AEC,29Jun2020,Central,N,"31,971","16,525","22,278","5,614","3,641","18,523",,,18,,,96,,"1,455","4,159",2.25,0.90,,"3,717","7,584",,1,"11,301",0,"2,833","8,468","22,278","16,664",1.12,1.12
AEC,30Jun2020,Central,N,,"16,174","22,328","6,154","4,182","18,027",,,24,,,95,,"1,521","4,633",2.25,0.90,,"4,265","7,377",,1,"11,643",0,"3,196","8,447","22,328","16,174",1.15,1.15
AEC,01Jul2020,Central,N,"32,611","14,110","19,038","4,782","3,973","14,951",,,11,,,100,,"1,078","3,704",2.24,0.90,,"4,044","6,098",,1,"10,142",15,"2,546","7,612","19,035","14,253",1.17,1.18
AEC,02Jul2020,Central,N,"29,389","14,517","19,240","4,723","3,812","15,317",,,20,,,88,,219,"4,504",2.24,0.90,,"3,877","6,250",,1,"10,128",232,"2,697","7,663","19,237","14,514",1.16,1.16
AEC,03Jul2020,Central,N,"30,157","14,891","21,324","6,433","3,616","17,597",,,17,,,87,,"1,144","5,289",2.24,0.90,,"3,676","7,187",,1,"10,864",0,"3,240","7,624","21,317","14,884",1.12,1.13
AEC,04Jul2020,Central,N,"29,738","14,058","20,172","6,115","3,691","16,348",,,21,,,97,,"1,626","4,489",2.24,0.90,,"3,751","6,680",,1,"10,432",0,"3,147","7,285","20,157","14,042",1.14,1.14
AEC,05Jul2020,Central,N,"28,792","13,692","19,080","5,388","3,653","15,292",,,29,,,97,,"1,990","3,398",2.24,0.90,,"3,714","6,240",,1,"9,955",4,"2,803","7,156","19,071","13,683",1.15,1.15
AEC,06Jul2020,Central,N,"27,414","14,322","18,442","4,120","3,905","14,388",,,42,,,97,,"1,124","2,996",2.24,0.90,,"3,972","5,866",,1,"9,838",0,"2,201","7,638","18,432","14,312",1.18,1.18
AEC,07Jul2020,Central,N,"27,776","13,902","17,760","3,856","3,941","13,709",,,10,,,94,,822,"3,034",2.24,0.90,,"4,009","5,594",,1,"9,603",0,"2,082","7,521","17,754","13,898",1.19,1.19
AEC,08Jul2020,Central,N,"29,970","14,956","19,302","4,346","3,901","15,255",,,45,,,93,,566,"3,780",2.25,0.90,,"3,973","6,234",,1,"10,208",34,"2,326","7,916","19,294","14,948",1.17,1.17
AEC,09Jul2020,Central,N,"30,315","15,142","19,182","4,040","3,847","15,169",,,65,,,96,,-222,"4,262",2.25,0.90,,"3,920","6,203",,1,"10,124",178,"2,306","7,995","19,177","15,137",1.16,1.16
AEC,10Jul2020,Central,N,"32,110","16,404","22,186","5,780","3,868","18,191",,,25,,,98,,925,"4,855",2.25,0.90,,"3,939","7,434",,1,"11,373",10,"2,972","8,411","22,182","16,402",1.13,1.13
AEC,11Jul2020,Central,N,"33,742","16,456","21,759","5,302","3,835","17,807",,,10,,,98,,"2,086","3,216",2.24,0.90,,"3,899","7,276",,1,"11,176",0,"2,722","8,454","21,750","16,448",1.13,1.13
AEC,12Jul2020,Central,N,"33,429","15,002","19,187","4,194","3,489","15,591",,,16,,,90,,"2,118","2,076",2.24,0.90,,"3,546","6,366",,1,"9,913",62,"2,232","7,743","19,186","14,992",1.14,1.14
AEC,13Jul2020,Central,N,"32,483","15,930","19,284","3,354","3,737","15,410",,,48,,,89,,"2,027","1,327",2.24,0.90,,"3,802","6,309",,1,"10,112",101,"1,878","8,335","19,284","15,930",1.16,1.15
AEC,14Jul2020,Central,N,"33,474","16,709","22,205","5,496","3,600","18,472",,,44,,,91,,"2,218","3,278",2.24,0.90,,"3,661","7,551",,1,"11,213",39,"2,800","8,452","22,207","16,711",1.11,1.12
AEC,15Jul2020,Central,N,"31,913","14,381","19,894","5,513","3,248","16,539",,,17,,,85,,"2,892","2,621",2.24,0.90,,"3,304","6,752",,1,"10,057",14,"2,780","7,292","19,889","14,376",1.11,1.12
AEC,16Jul2020,Central,N,"32,410","15,561","20,932","5,371","4,001","16,803",,,25,,,95,,"2,396","2,975",2.24,0.90,,"4,072","6,861",,1,"10,934",57,"2,876","8,115","20,924","15,553",1.15,1.15
AEC,17Jul2020,Central,N,"32,585","16,525","22,313","5,789","3,657","18,553",,,1,,,104,,"1,728","4,061",2.25,0.90,,"3,725","7,589",,1,"11,314",17,"2,929","8,402","22,315","16,526",1.12,1.12
