BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
AVRN,20Oct2018,Pacific,Y,,,206,,,,,,0,0,206,,,"10,829",,,,,,,,2,2,8,2,,260,50,0.01,
AVRN,21Oct2018,Pacific,Y,,,6,6,,,,,0,0,6,,,6,,,,,,,,0,0,7,0,,60,54,0.01,
AVRN,22Oct2018,Pacific,Y,,,143,143,,,,,0,0,143,,,143,,,,,,,,1,1,3,1,,169,26,0.01,
AVRN,23Oct2018,Pacific,Y,,,"3,570","3,570",,,,,0,0,"3,570",,,"3,570",,,,,,,,24,24,5,24,,"3,600",30,0.01,
AVRN,24Oct2018,Pacific,Y,,,"4,687","4,687",,,,,0,0,"4,687",,,"4,687",,,,,,,,31,31,0,31,,"4,687",0,0.01,
AVRN,25Oct2018,Pacific,Y,,,"3,043",,,,,,0,0,"3,043",,,"14,017",,,,,,,,20,20,0,93,,"3,043","-10,974",0.01,
AVRN,26Oct2018,Pacific,Y,,,"12,749","12,749",,,,,0,0,"12,749",,,"12,749",,,,,,,,85,85,0,85,,"12,749",0,0.01,
AVRN,27Oct2018,Pacific,Y,,,"1,578","1,578",,,,,0,0,"1,578",,,"1,578",,,,,,,,11,11,1,11,,"1,583",5,0.01,
AVRN,28Oct2018,Pacific,Y,,,"6,343","6,343",,,,,0,0,"6,343",,,"6,343",,,,,,,,42,42,1,42,,"6,346",3,0.01,
AVRN,29Oct2018,Pacific,Y,,,"9,935","9,935",,,,,0,0,"9,935",,,"9,935",,,,,,,,66,66,0,66,,"9,935",0,0.01,
AVRN,30Oct2018,Pacific,Y,,,"3,332","3,332",,,,,0,0,"3,332",,,"3,332",,,,,,,,22,22,0,22,,"3,332",0,0.01,
AVRN,31Oct2018,Pacific,Y,,,"12,546","12,546",,,,,0,0,"12,546",,,"12,546",,,,,,,,83,83,0,83,,"12,546",0,0.01,
AVRN,01Nov2018,Pacific,Y,,,"15,264","15,264",,,,,0,0,"15,264",,,"15,264",,,,,,,,101,101,0,101,,"15,264",0,0.01,
AVRN,02Nov2018,Pacific,Y,,,"18,452","18,452",,,,,0,0,"18,452",,,"18,452",,,,,,,,123,123,0,123,,"18,452",0,0.01,
AVRN,03Nov2018,Pacific,Y,,,"10,558","10,558",,,,,0,0,"10,558",,,"10,558",,,,,,,,70,70,0,70,,"10,558",0,0.01,
AVRN,04Nov2018,Pacific,Y,,,"17,083","17,083",,,,,0,0,"17,083",,,"17,083",,,,,,,,114,114,0,114,,"17,083",0,0.01,
AVRN,05Nov2018,Pacific,Y,,,"15,537","15,537",,,,,0,0,"15,537",,,"15,537",,,,,,,,103,103,0,103,,"15,537",0,0.01,
AVRN,06Nov2018,Pacific,Y,,,"12,254","12,254",,,,,0,0,"12,254",,,"12,254",,,,,,,,81,81,0,81,,"12,254",0,0.01,
AVRN,07Nov2018,Pacific,Y,,,"1,334","1,334",,,,,0,0,"1,334",,,"1,334",,,,,,,,9,9,3,9,,"1,369",35,0.01,
AVRN,08Nov2018,Pacific,Y,,,49,49,,,,,0,0,49,,,49,,,,,,,,1,1,6,1,,102,53,0.01,
AVRN,09Nov2018,Pacific,Y,,,"3,102","3,102",,,,,0,0,"3,102",,,"3,102",,,,,,,,21,21,3,21,,"3,124",22,0.01,
AVRN,10Nov2018,Pacific,Y,,,120,120,,,,,0,0,120,,,120,,,,,,,,1,1,3,1,,153,33,0.01,
AVRN,11Nov2018,Pacific,Y,,,609,609,,,,,0,0,609,,,609,,,,,,,,4,4,4,4,,652,43,0.01,
AVRN,12Nov2018,Pacific,Y,,,73,73,,,,,0,0,73,,,73,,,,,,,,1,1,6,1,,129,56,0.01,
AVRN,13Nov2018,Pacific,Y,,,-58,,,,,,0,0,-58,,,"134,339",,,,,,,,0,0,12,0,,69,121,0.01,
AVRN,14Nov2018,Pacific,Y,,,"6,946",,,,,,0,0,"6,946",,,"12,032",,,,,,,,46,46,0,80,,"6,946","-5,086",0.01,
AVRN,15Nov2018,Pacific,Y,,,"1,748",,,,,,0,0,"1,748",,,"28,092",,,,,,,,12,12,1,187,,"1,753","-26,339",0.01,
AVRN,16Nov2018,Pacific,Y,,,"3,270","3,270",,,,,0,0,"3,270",,,"3,270",,,,,,,,22,22,0,22,,"3,270",0,0.01,
AVRN,17Nov2018,Pacific,Y,,,"3,382",,,,,,0,0,"3,382",,,"12,157",,,,,,,,22,22,0,81,,"3,382","-8,775",0.01,
AVRN,18Nov2018,Pacific,Y,,,482,482,,,,,0,0,482,,,482,,,,,,,,3,3,2,3,,494,12,0.01,
AVRN,19Nov2018,Pacific,Y,,,153,153,,,,,0,0,153,,,153,,,,,,,,1,1,6,1,,198,45,0.01,
AVRN,20Nov2018,Pacific,Y,,,184,184,,,,,0,0,184,,,184,,,,,,,,2,2,6,2,,232,48,0.01,
AVRN,21Nov2018,Pacific,Y,,,23,23,,,,,0,0,23,,,23,,,,,,,,1,1,9,1,,95,72,0.01,
AVRN,22Nov2018,Pacific,Y,,,"5,525","5,525",,,,,0,0,"5,525",,,"5,525",,,,,,,,37,37,0,37,,"5,525",0,0.01,
AVRN,23Nov2018,Pacific,Y,,,"10,832","10,832",,,,,0,0,"10,832",,,"10,832",,,,,,,,72,72,0,72,,"10,832",0,0.01,
AVRN,24Nov2018,Pacific,Y,,,"5,426","5,426",,,,,0,0,"5,426",,,"5,426",,,,,,,,36,36,1,36,,"5,434",8,0.01,
AVRN,25Nov2018,Pacific,Y,,,-39,-39,,,,,0,0,-39,,,-39,,,,,,,,0,0,13,0,,48,87,0.01,
AVRN,26Nov2018,Pacific,Y,,,-33,-33,,,,,0,0,-33,,,-33,,,,,,,,0,0,9,0,,31,64,0.01,
AVRN,27Nov2018,Pacific,Y,,,"5,721","5,721",,,,,0,0,"5,721",,,"5,721",,,,,,,,38,38,0,38,,"5,721",0,0.01,
AVRN,28Nov2018,Pacific,Y,,,"2,775","2,775",,,,,0,0,"2,775",,,"2,775",,,,,,,,19,19,2,19,,"2,792",17,0.01,
AVRN,29Nov2018,Pacific,Y,,,277,277,,,,,0,0,277,,,277,,,,,,,,2,2,6,2,,316,39,0.01,
AVRN,30Nov2018,Pacific,Y,,,"5,730",,,,,,0,0,"5,730",,,"27,043",,,,,,,,38,38,0,180,,"5,730","-21,313",0.01,
AVRN,01Dec2018,Pacific,Y,,,859,859,,,,,0,0,859,,,859,,,,,,,,6,6,5,6,,891,32,0.01,
AVRN,02Dec2018,Pacific,Y,,,411,411,,,,,0,0,411,,,411,,,,,,,,3,3,9,3,,474,63,0.01,
AVRN,03Dec2018,Pacific,Y,,,519,519,,,,,0,0,519,,,519,,,,,,,,4,4,11,4,,590,71,0.01,
