BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PACW,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
PGE,09Dec2015,Pacific,N,"59,407","57,889","42,886","-24,572",,,,,,,,,,"-18,523","-6,049",,,,,,,,,,,,,,,
PGE,10Dec2015,Pacific,N,"60,744","61,104","46,020","-25,890",,,,,,,,,,"-20,574","-5,316",,,,,,,,,,,,,,,
PGE,11Dec2015,Pacific,N,"61,630","62,584","46,414","-26,706",,,,,,,,,,"-21,296","-5,410",,,,,,,,,,,,,,,
PGE,12Dec2015,Pacific,N,"58,609","59,305","41,651","-24,818",,,,,,,,,,"-19,148","-5,670",,,,,,,,,,,,,,,
PGE,13Dec2015,Pacific,N,"58,156","59,247","41,488","-26,618",,,,,,,,,,"-21,489","-5,129",,,,,,,,,,,,,,,
PGE,14Dec2015,Pacific,N,"64,957","65,642","46,047","-30,661",,,,,,,,,,"-25,779","-4,882",,,,,,,,,,,,,,,
PGE,15Dec2015,Pacific,N,"66,297","66,067","44,681","-32,503",,,,,,,,,,"-27,571","-4,932",,,,,,,,,,,,,,,
PGE,16Dec2015,Pacific,N,"64,609","64,623","46,141","-30,829",,,,,,,,,,"-26,601","-4,228",,,,,,,,,,,,,,,
PGE,17Dec2015,Pacific,N,"64,950","65,693","53,745","-24,089",,,,,,,,,,"-19,898","-4,191",,,,,,,,,,,,,,,
PGE,18Dec2015,Pacific,N,"62,434","61,156","48,016","-24,632",,,,,,,,,,"-19,986","-4,646",,,,,,,,,,,,,,,
PGE,19Dec2015,Pacific,N,"59,469","58,666","48,772","-21,208",,,,,,,,,,"-16,126","-5,082",,,,,,,,,,,,,,,
