BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,FPC,FPL,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
GVL,22Nov2015,Eastern,N,"4,066","4,446","3,590",-855,,,,,,,,,,127,-982,,,,,,,,,,,,,,,
GVL,23Nov2015,Eastern,N,"4,283","4,602","4,356",-247,,,,,,,,,,859,"-1,103",,,,,,,,,,,,,,,
GVL,24Nov2015,Eastern,N,"4,210","4,743","4,473",-271,,,,,,,,,,725,-998,,,,,,,,,,,,,,,
GVL,25Nov2015,Eastern,N,"4,210","4,442","3,148","-1,296",,,,,,,,,,67,"-1,361",,,,,,,,,,,,,,,
GVL,26Nov2015,Eastern,N,"4,350","4,068","3,012","-1,050",,,,,,,,,,230,"-1,279",,,,,,,,,,,,,,,
GVL,27Nov2015,Eastern,N,"4,350","4,177","3,155","-1,028",,,,,,,,,,247,"-1,271",,,,,,,,,,,,,,,
GVL,28Nov2015,Eastern,N,"4,335","4,324","3,247","-1,077",,,,,,,,,,363,"-1,439",,,,,,,,,,,,,,,
GVL,29Nov2015,Eastern,N,"4,335","4,384","3,266","-1,117",,,,,,,,,,414,"-1,532",,,,,,,,,,,,,,,
GVL,30Nov2015,Eastern,N,"4,302","4,798","3,248","-1,547",,,,,,,,,,12,"-1,557",,,,,,,,,,,,,,,
GVL,01Dec2015,Eastern,N,"4,295","4,962","3,335","-1,627",,,,,,,,,,-78,"-1,552",,,,,,,,,,,,,,,
GVL,02Dec2015,Eastern,N,"4,632","5,077","3,338","-1,739",,,,,,,,,,-161,"-1,575",,,,,,,,,,,,,,,
GVL,03Dec2015,Eastern,N,"4,399","4,513","3,156","-1,358",,,,,,,,,,-92,"-1,268",,,,,,,,,,,,,,,
GVL,04Dec2015,Eastern,N,"4,228","4,451","3,245","-1,202",,,,,,,,,,-66,"-1,137",,,,,,,,,,,,,,,
GVL,05Dec2015,Eastern,N,"4,513","4,290","3,107","-1,183",,,,,,,,,,-4,"-1,179",,,,,,,,,,,,,,,
GVL,06Dec2015,Eastern,N,"4,144","4,325","3,076","-1,249",,,,,,,,,,16,"-1,264",,,,,,,,,,,,,,,
GVL,07Dec2015,Eastern,N,"4,387","4,512","3,259","-1,252",,,,,,,,,,161,"-1,411",,,,,,,,,,,,,,,
GVL,08Dec2015,Eastern,N,"4,387","4,630","3,229","-1,404",,,,,,,,,,182,"-1,588",,,,,,,,,,,,,,,
GVL,09Dec2015,Eastern,N,"4,387","4,618","3,286","-1,334",,,,,,,,,,246,"-1,577",,,,,,,,,,,,,,,
GVL,10Dec2015,Eastern,N,"4,371","4,592","3,236","-1,355",,,,,,,,,,17,"-1,369",,,,,,,,,,,,,,,
GVL,11Dec2015,Eastern,N,"4,404","4,553","3,197","-1,357",,,,,,,,,,-2,"-1,356",,,,,,,,,,,,,,,
GVL,12Dec2015,Eastern,N,"4,043","4,445","3,166","-1,277",,,,,,,,,,50,"-1,328",,,,,,,,,,,,,,,
GVL,13Dec2015,Eastern,N,"4,271","4,626","3,261","-1,367",,,,,,,,,,-111,"-1,255",,,,,,,,,,,,,,,
GVL,14Dec2015,Eastern,N,"4,275","5,229","3,464","-1,766",,,,,,,,,,-148,"-1,619",,,,,,,,,,,,,,,
GVL,15Dec2015,Eastern,N,"4,228","5,123","3,177","-1,946",,,,,,,,,,-251,"-1,693",,,,,,,,,,,,,,,
GVL,16Dec2015,Eastern,N,"4,696","5,339","3,169","-2,170",,,,,,,,,,-495,"-1,678",,,,,,,,,,,,,,,
GVL,17Dec2015,Eastern,N,"4,696","5,188","3,177","-2,009",,,,,,,,,,-457,"-1,556",,,,,,,,,,,,,,,
