BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,HQT,IESO,ISNE,PJM,Subregion ZONF,Subregion ZONC,Subregion ZONI,Subregion ZONB,Subregion ZONG,Subregion ZONK,Subregion ZONH,Subregion ZONE,Subregion ZONJ,Subregion ZOND,Subregion ZONA,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NYIS,02Sep2015,Eastern,N,"567,065","567,697","512,668","-55,029",,,,,,,,,,"-36,568","-9,912","14,361","-22,910",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,03Sep2015,Eastern,N,"569,332","580,916","509,217","-71,699",,,,,,,,,,"-38,139","-8,670","7,191","-32,075",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,04Sep2015,Eastern,N,"534,665","547,677","451,791","-95,886",,,,,,,,,,"-38,858","-19,483","1,380","-38,925",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,05Sep2015,Eastern,N,"457,832","469,977","377,132","-92,845",,,,,,,,,,"-37,539","-17,735","-5,416","-32,150",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,06Sep2015,Eastern,N,"440,124","456,282","373,641","-82,641",,,,,,,,,,"-32,626","-11,639","-5,323","-33,039",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,07Sep2015,Eastern,N,"472,761","509,782","418,885","-90,897",,,,,,,,,,"-35,888","-19,852","5,550","-40,705",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,08Sep2015,Eastern,N,"557,761","602,576","506,775","-95,801",,,,,,,,,,"-39,498","-17,734","17,219","-55,789",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,09Sep2015,Eastern,N,"572,267","596,286","504,616","-91,670",,,,,,,,,,"-37,360","-22,042","18,723","-50,995",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,10Sep2015,Eastern,N,"531,275","522,172","440,923","-81,249",,,,,,,,,,"-37,199","-11,731","20,216","-52,534",,,,,,,,,,,,,,,,,,,,,,,,,,
NYIS,11Sep2015,Eastern,N,"493,585","480,474","407,023","-73,451",,,,,,,,,,"-31,772","-9,980","16,909","-48,606",,,,,,,,,,,,,,,,,,,,,,,,,,
