BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,PSEI,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
SCL,06Oct2015,Pacific,N,"24,405","24,856","18,543","-6,020",,,,,,,,,,"-6,730",-132,,,,,,,,,,,,,,,
SCL,07Oct2015,Pacific,N,"24,145","24,691","17,777","-6,611",,,,,,,,,,"-7,032",-398,,,,,,,,,,,,,,,
SCL,08Oct2015,Pacific,N,"24,235","24,632","18,193","-6,150",,,,,,,,,,"-5,637","-1,336",,,,,,,,,,,,,,,
SCL,09Oct2015,Pacific,N,"25,345","25,304","18,798","-6,174",,,,,,,,,,"-5,115","-1,807",,,,,,,,,,,,,,,
SCL,10Oct2015,Pacific,N,"23,767","23,909","15,577","-8,035",,,,,,,,,,"-7,580","-1,161",,,,,,,,,,,,,,,
SCL,11Oct2015,Pacific,N,"23,499","23,303","16,473","-6,537",,,,,,,,,,"-6,046","-1,188",,,,,,,,,,,,,,,
SCL,12Oct2015,Pacific,N,"25,705","25,795","19,046","-6,409",,,,,,,,,,"-5,870","-1,249",,,,,,,,,,,,,,,
SCL,13Oct2015,Pacific,N,"24,502","24,721","19,152","-5,222",,,,,,,,,,"-5,420",-530,,,,,,,,,,,,,,,
SCL,14Oct2015,Pacific,N,"24,457","25,272","19,312","-5,617",,,,,,,,,,"-5,807",-628,,,,,,,,,,,,,,,
SCL,15Oct2015,Pacific,N,"24,671","24,994","18,174","-6,492",,,,,,,,,,"-6,497",-815,,,,,,,,,,,,,,,
SCL,16Oct2015,Pacific,N,"25,467","25,603","19,100","-6,083",,,,,,,,,,"-6,144",-735,,,,,,,,,,,,,,,
SCL,17Oct2015,Pacific,N,"23,340","23,691","18,812","-4,504",,,,,,,,,,"-5,005",-282,,,,,,,,,,,,,,,
SCL,18Oct2015,Pacific,N,"23,540","23,981","18,052","-5,583",,,,,,,,,,"-5,752",-615,,,,,,,,,,,,,,,
SCL,19Oct2015,Pacific,N,"26,125","26,012","18,156","-7,501",,,,,,,,,,"-7,775",-553,,,,,,,,,,,,,,,
SCL,20Oct2015,Pacific,N,"25,772","25,642","18,182","-7,090",,,,,,,,,,"-7,479",-444,,,,,,,,,,,,,,,
SCL,21Oct2015,Pacific,N,"24,833","24,794","16,845","-7,585",,,,,,,,,,"-7,346",-818,,,,,,,,,,,,,,,
SCL,22Oct2015,Pacific,N,"24,797","24,679","17,517","-6,824",,,,,,,,,,"-7,102",-245,,,,,,,,,,,,,,,
SCL,23Oct2015,Pacific,N,"26,165","26,104","17,871","-7,893",,,,,,,,,,"-7,170","-1,185",,,,,,,,,,,,,,,
SCL,24Oct2015,Pacific,N,"24,710","24,712","17,555","-6,846",,,,,,,,,,"-6,412",-686,,,,,,,,,,,,,,,
SCL,25Oct2015,Pacific,N,"24,196","24,499","14,827","-9,367",,,,,,,,,,"-8,300","-1,112",,,,,,,,,,,,,,,
SCL,26Oct2015,Pacific,N,"26,175","27,308","16,347","-10,643",,,,,,,,,,"-9,793",-889,,,,,,,,,,,,,,,
SCL,27Oct2015,Pacific,N,"26,023","25,933","16,976","-8,640",,,,,,,,,,"-7,704",-989,,,,,,,,,,,,,,,
SCL,28Oct2015,Pacific,N,"25,512","25,815","16,694","-8,806",,,,,,,,,,"-8,217",-640,,,,,,,,,,,,,,,
SCL,29Oct2015,Pacific,N,"25,461","25,507","15,706","-9,502",,,,,,,,,,"-9,502",-38,,,,,,,,,,,,,,,
SCL,30Oct2015,Pacific,N,"26,117","26,131","16,646","-9,152",,,,,,,,,,"-9,001",-199,,,,,,,,,,,,,,,
