BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,LGEE,PJM,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
OVEC,25Sep2015,Eastern,N,"2,088","1,922","32,184","30,262",,,,,,,,,,"-1,515","31,777",,,,,,,,,,,,,,,
OVEC,26Sep2015,Eastern,N,"1,992","1,779","24,369","22,590",,,,,,,,,,"-2,031","24,621",,,,,,,,,,,,,,,
OVEC,27Sep2015,Eastern,N,"1,848","1,736","23,525","21,789",,,,,,,,,,"-1,372","23,161",,,,,,,,,,,,,,,
OVEC,28Sep2015,Eastern,N,"1,800","2,324","37,144","34,820",,,,,,,,,,"-6,929","41,749",,,,,,,,,,,,,,,
OVEC,29Sep2015,Eastern,N,"2,400","2,711","37,921","35,210",,,,,,,,,,"-5,037","40,247",,,,,,,,,,,,,,,
OVEC,30Sep2015,Eastern,N,"2,784","2,363","35,788","33,425",,,,,,,,,,"-8,672","42,097",,,,,,,,,,,,,,,
OVEC,01Oct2015,Eastern,N,"2,424","2,176","29,015","26,839",,,,,,,,,,"-11,117","37,956",,,,,,,,,,,,,,,
OVEC,02Oct2015,Eastern,N,"2,256","2,154","26,343","24,189",,,,,,,,,,"-10,083","34,272",,,,,,,,,,,,,,,
OVEC,03Oct2015,Eastern,N,"2,232","1,856","20,725","18,869",,,,,,,,,,"-9,379","28,248",,,,,,,,,,,,,,,
OVEC,04Oct2015,Eastern,N,"1,944","1,755","20,950","19,195",,,,,,,,,,"-8,001","27,196",,,,,,,,,,,,,,,
OVEC,05Oct2015,Eastern,N,"1,824","2,038","29,963","27,925",,,,,,,,,,"-7,829","35,754",,,,,,,,,,,,,,,
OVEC,06Oct2015,Eastern,N,"2,112","2,250","37,312","35,062",,,,,,,,,,"-7,344","42,406",,,,,,,,,,,,,,,
OVEC,07Oct2015,Eastern,N,"2,328","2,280","37,068","34,788",,,,,,,,,,"-9,606","44,394",,,,,,,,,,,,,,,
OVEC,08Oct2015,Eastern,N,"2,352","2,256","36,426","34,170",,,,,,,,,,"-9,130","43,300",,,,,,,,,,,,,,,
OVEC,09Oct2015,Eastern,N,"2,328","2,054","34,628","32,574",,,,,,,,,,"-10,702","43,276",,,,,,,,,,,,,,,
OVEC,10Oct2015,Eastern,N,"2,112","1,673","26,469","24,796",,,,,,,,,,"-4,984","29,780",,,,,,,,,,,,,,,
OVEC,11Oct2015,Eastern,N,"1,728","1,659","24,348","22,689",,,,,,,,,,"-4,878","27,567",,,,,,,,,,,,,,,
OVEC,12Oct2015,Eastern,N,"1,728","2,071","34,173","32,102",,,,,,,,,,"-5,827","37,929",,,,,,,,,,,,,,,
OVEC,13Oct2015,Eastern,N,"2,136","2,017","33,460","31,443",,,,,,,,,,"-5,826","37,269",,,,,,,,,,,,,,,
OVEC,14Oct2015,Eastern,N,"2,088","1,966","32,693","30,727",,,,,,,,,,"-8,031","38,758",,,,,,,,,,,,,,,
OVEC,15Oct2015,Eastern,N,"2,040","1,958","32,584","30,626",,,,,,,,,,"-4,422","35,048",,,,,,,,,,,,,,,
OVEC,16Oct2015,Eastern,N,"2,016","2,068","33,890","31,822",,,,,,,,,,"-7,463","39,285",,,,,,,,,,,,,,,
OVEC,17Oct2015,Eastern,N,"2,136","1,915","23,052","21,137",,,,,,,,,,"-4,784","25,921",,,,,,,,,,,,,,,
OVEC,18Oct2015,Eastern,N,"1,992","1,851","19,004","17,153",,,,,,,,,,"-2,648","19,801",,,,,,,,,,,,,,,
