BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,BPAT,CISO,IPCO,LDWP,PACE,WALC,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
NEVP,28Oct2015,Pacific,N,"88,626","86,584","84,922","-1,662",,,,,,,,,,"-1,511","-3,629","-5,303","-4,508","-3,462","16,755",,,,,,,,,,,,,,,
NEVP,29Oct2015,Pacific,N,"87,982","86,437","85,319","-1,118",,,,,,,,,,"-1,464","-2,339","-6,211","-5,840","-3,050","17,785",,,,,,,,,,,,,,,
NEVP,30Oct2015,Pacific,N,"84,613","84,090","81,607","-2,483",,,,,,,,,,"-2,099","-2,954","-5,822","-2,935","-6,054","17,381",,,,,,,,,,,,,,,
NEVP,31Oct2015,Pacific,N,"83,841","83,791","82,421","-1,246",,,,,,,,,,"-1,985","-3,380","-6,507","-1,758","-7,951","20,335",,,,,,,,,,,,,,,
NEVP,01Nov2015,Pacific,N,"85,903","83,693","83,869",176,,,,,,,,,,"-2,097","-3,494","-6,116","-2,692","-6,151","20,726",,,,,,,,,,,,,,,
NEVP,02Nov2015,Pacific,N,"87,731","88,276","87,593",-569,,,,,,,,,,"-2,081","-3,472","-4,555","-3,494","-4,332","17,365",,,,,,,,,,,,,,,
NEVP,03Nov2015,Pacific,N,"86,545","85,495","85,567",72,,,,,,,,,,"-2,479","-2,421","-5,276","-3,910","-2,980","17,138",,,,,,,,,,,,,,,
NEVP,04Nov2015,Pacific,N,"87,175","85,942","86,310",368,,,,,,,,,,"-3,324","-1,009","-5,244","-5,037","-2,511","17,493",,,,,,,,,,,,,,,
NEVP,05Nov2015,Pacific,N,"87,859","86,021","85,640",-381,,,,,,,,,,"-2,333",-883,"-6,640","-3,173","-3,420","16,068",,,,,,,,,,,,,,,
NEVP,06Nov2015,Pacific,N,"87,332","85,239","86,256","1,017",,,,,,,,,,"-1,545","-3,794","-7,077",-295,"-3,064","16,792",,,,,,,,,,,,,,,
NEVP,07Nov2015,Pacific,N,"84,321","81,817","81,878",61,,,,,,,,,,"-2,252","-6,143","-6,938","2,953","-6,176","18,617",,,,,,,,,,,,,,,
NEVP,08Nov2015,Pacific,N,"84,034","81,431","81,037",-205,,,,,,,,,,"-2,293",93,"-7,624","-3,339","-5,150","18,108",,,,,,,,,,,,,,,
NEVP,09Nov2015,Pacific,N,"87,642","86,098","88,139","2,041",,,,,,,,,,"-2,493",480,"-7,256","-2,256","-4,677","18,243",,,,,,,,,,,,,,,
NEVP,10Nov2015,Pacific,N,"87,898","86,481","86,195",-286,,,,,,,,,,"-2,456",773,"-6,310","-6,019","-2,639","16,365",,,,,,,,,,,,,,,
NEVP,11Nov2015,Pacific,N,"86,963","85,390","86,574","1,184",,,,,,,,,,"-2,383",-130,"-6,946","-2,449","-4,905","17,997",,,,,,,,,,,,,,,
NEVP,12Nov2015,Pacific,N,"87,864","87,020","86,404",-616,,,,,,,,,,"-2,486",77,"-7,270","-2,495","-6,230","17,788",,,,,,,,,,,,,,,
NEVP,13Nov2015,Pacific,N,"87,508","85,755","85,320",-435,,,,,,,,,,"-1,985",-215,"-7,078","-3,365","-5,353","17,561",,,,,,,,,,,,,,,
NEVP,14Nov2015,Pacific,N,"84,508","82,431","82,164",-267,,,,,,,,,,"-1,805",208,"-6,573","-4,130","-5,189","17,222",,,,,,,,,,,,,,,
NEVP,15Nov2015,Pacific,N,"84,375","83,621","80,852","-2,769",,,,,,,,,,"-1,891","1,023","-6,491","-7,179","-4,452","16,221",,,,,,,,,,,,,,,
NEVP,16Nov2015,Pacific,N,"89,589","89,340","87,851","-1,489",,,,,,,,,,"-2,837","1,488","-5,707","-7,521","-2,880","15,968",,,,,,,,,,,,,,,
NEVP,17Nov2015,Pacific,N,"89,943","88,440","87,143","-1,297",,,,,,,,,,"-3,710",679,"-5,985","-5,277","-3,867","16,863",,,,,,,,,,,,,,,
NEVP,18Nov2015,Pacific,N,"88,381","86,113","85,953",-160,,,,,,,,,,"-3,954",913,"-5,997","-4,669","-4,351","17,898",,,,,,,,,,,,,,,
NEVP,19Nov2015,Pacific,N,"87,601","85,061","85,490",429,,,,,,,,,,"-3,458",-518,"-4,875","-5,279","-1,758","16,317",,,,,,,,,,,,,,,
NEVP,20Nov2015,Pacific,N,"87,263","84,434","84,362",-72,,,,,,,,,,"-3,524","2,458","-4,089","-9,235",-84,"14,402",,,,,,,,,,,,,,,
NEVP,21Nov2015,Pacific,N,"84,338","82,076","84,443","2,367",,,,,,,,,,"-4,022","1,130","-3,880","-5,809","-2,332","17,280",,,,,,,,,,,,,,,
NEVP,22Nov2015,Pacific,N,"84,393","82,563","82,301",-262,,,,,,,,,,"-3,847","1,426","-4,978","-5,828","-5,371","18,336",,,,,,,,,,,,,,,
NEVP,23Nov2015,Pacific,N,"87,881","86,355","86,755",400,,,,,,,,,,"-3,989","1,483","-4,454","-6,034","-3,960","17,354",,,,,,,,,,,,,,,
NEVP,24Nov2015,Pacific,N,"88,250","87,471","86,866",-605,,,,,,,,,,"-4,010",758,"-5,365","-5,877","-3,454","17,343",,,,,,,,,,,,,,,
NEVP,25Nov2015,Pacific,N,"88,416","88,598","84,434","-4,164",,,,,,,,,,"-3,657","-1,293","-5,659","-6,863","-2,359","15,667",,,,,,,,,,,,,,,
NEVP,26Nov2015,Pacific,N,"87,054","86,469","85,492",-977,,,,,,,,,,"-1,780","-3,674","-4,151","-3,334","-5,898","17,860",,,,,,,,,,,,,,,
NEVP,27Nov2015,Pacific,N,"88,366","88,327","85,746","-2,581",,,,,,,,,,"-1,045","-3,426","-2,434","-5,582","-4,416","14,322",,,,,,,,,,,,,,,
NEVP,28Nov2015,Pacific,N,"88,584","89,590","77,310","-12,280",,,,,,,,,,"-1,160","-4,505","-1,212","-10,164","-4,586","9,347",,,,,,,,,,,,,,,
NEVP,29Nov2015,Pacific,N,"89,017","90,545","78,900","-11,645",,,,,,,,,,"-1,094","-4,423",-338,"-10,754","-4,466","9,430",,,,,,,,,,,,,,,
NEVP,30Nov2015,Pacific,N,"91,549","94,853","83,367","-11,486",,,,,,,,,,-370,"-4,534",-765,"-11,378","-2,838","8,399",,,,,,,,,,,,,,,
NEVP,01Dec2015,Pacific,N,"93,652","93,449","79,600","-13,849",,,,,,,,,,"-1,101","-3,839",-798,"-16,697","-3,891","12,480",,,,,,,,,,,,,,,
NEVP,02Dec2015,Pacific,N,"92,283","92,072","77,970","-14,102",,,,,,,,,,"-2,109","-1,822","-5,278","-15,861","-5,904","16,872",,,,,,,,,,,,,,,
